plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,3,1,6,16.7,3,0,0,3,39.6,1,MH Blaze,2018,3,1,6,0,0,1,0,17,0,0.5,3,3,0,0,0,0,2.375,39.6,#17,Adrienne Tauaese,1,1,1,NA,0,1,1,1,0,0,1,1,1
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,58,5,12,41.7,11.6,1,0,NA,84.7,2,MH Blaze,2018,61,6,18,1,0,2,0.05555555555555555,33,0,3.388888888888889,10.2,30.5,0.05555555555555555,0.16666666666666644,0.09722222222222221,1.1111111111111112,2.375,62.5,#17,Adrienne Tauaese,11,3,3.7,NA,2,3,12,4,2,0.5,3,6,3.7
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,80,7,12,58.3,11.4,1,0,NA,106.2,3,MH Blaze,2018,141,13,30,2,0,3,0.06666666666666667,43,0,4.7,10.8,47,0.06666666666666667,0.6666666666666669,0.42500000000000004,1.3333333333333335,2.375,80,#17,Adrienne Tauaese,0,2,0,NA,0,4,12,6,2,0.3333333333333333,2,4,0
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,60,3,10,30,20,2,2,NA,52.1,4,MH Blaze,2018,201,16,40,4,2,4,0.1,40,0.05,5.025,12.6,50.2,2,0.5,0.5062500000000001,2,1.125,68.9,#17,Adrienne Tauaese,0,5,0,NA,0,5,12,11,2,0.18181818181818182,1.1,3,0
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,72,6,13,46.2,12,2,1,NA,71.2,5,MH Blaze,2018,273,22,53,6,3,5,0.11320754716981132,42,0.05660377358490566,5.150943396226415,12.4,54.6,2,0.5754716981132078,0.5377358490566038,2.264150943396227,0.9599056603773584,72.3,#17,Adrienne Tauaese,14,4,3.5,NA,1,7,26,15,3,0.2,1.7,5.2,3.5
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,212,15,26,57.7,14.1,5,1,NA,107.7,7,MH Blaze,2018,485,37,79,11,4,6,0.13924050632911392,47,0.05063291139240506,6.139240506329114,13.1,80.8,2.75,0.8417721518987342,0.7848101265822784,2.375,1.1091772151898733,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG #2,#2 Alexis Gunter,#2,Alexis Gunter,78,8,29,27.6,9.8,0,2,23,10.8,5,Fusion,2018,78,8,29,0,2,1,0,28,0.06896551724137931,2.689655172413793,9.8,78,0,0,0,0,0.6508620689655173,10.8,#2,Alexis Gunter,34,9,3.8,16,1,5,34,9,1,0.1111111111111111,3.8,34,3.8
AG #2,#2 Alexis Gunter,#2,Alexis Gunter,197,12,27,44.4,16.4,3,0,59,106.6,6,Fusion,2018,275,20,56,3,2,2,0.05357142857142857,36,0.03571428571428571,4.910714285714286,13.8,137.5,1.5,0.28571428571428575,0.4776785714285714,1.0714285714285714,1.4821428571428572,55.3,#2,Alexis Gunter,68,7,9.7,27,3,6,102,16,4,0.25,6.4,51,9.7
AB #23,#23 Alicia Brokaw,#23,Alicia Brokaw,120,6,11,54.5,20,1,0,36,123.3,1,Thunderkatz,2018,120,6,11,1,0,1,0.09090909090909091,55,0,10.909090909090908,20,120,0.09090909090909091,1.227272727272727,1.977272727272727,1.8181818181818183,2.375,123.3,#23,Alicia Brokaw,69,3,23,36,0,1,69,3,0,0,23,69,23
AB #23,#23 Alicia Brokaw,#23,Alicia Brokaw,0,0,11,0,0,0,0,NA,39.6,3,Thunderkatz,2018,120,6,22,1,0,2,0.045454545454545456,27,0,5.454545454545454,20,60,0.045454545454545456,0,0.6136363636363635,0.9090909090909092,2.375,65,#23,Alicia Brokaw,5,2,2.5,8,0,3,74,5,0,0,14.8,37,2.5
