plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AT #17,#17 Adrienne Tauaese,#17,Adrienne Tauaese,75,5,9,55.6,15,0,1,NA,43.5,1,MH Blaze,2019,75,5,9,0,1,1,0,56,0.1111111111111111,8.333333333333334,15,75,0,1.277777777777778,1.3333333333333335,0,0,43.5,#17,Adrienne Tauaese,0,4,0,NA,1,1,0,4,1,0.25,0,0,0
AD #19,#19 Alexis Delquadro,#19,Alexis Delquadro,6,2,6,33.3,3,0,1,5,2.8,3,Blitz,2019,6,2,6,0,1,1,0,33,0.16666666666666666,1,3,6,0,0.16666666666666644,0,0,0,2.8,#19,Alexis Delquadro,4,2,2,7,0,1,4,2,0,0,2,4,2
AM #40,#40 Alexis Moreno,#40,Alexis Moreno,100,6,14,42.9,16.7,1,3,30,51.8,1,Trojans,2019,100,6,14,1,3,1,0.07142857142857142,43,0.21428571428571427,7.142857142857143,16.7,100,0.3333333333333333,0.6428571428571428,1.0357142857142858,1.4285714285714286,0,51.8,#40,Alexis Moreno,40,5,8,7,0,1,40,5,0,0,8,40,8
AM #40,#40 Alexis Moreno,#40,Alexis Moreno,13,3,10,30,4.3,0,0,5,39.6,2,Trojans,2019,113,9,24,1,3,2,0.041666666666666664,38,0.125,4.708333333333333,12.6,56.5,0.3333333333333333,0.375,0.42708333333333326,0.8333333333333333,0,27.3,#40,Alexis Moreno,82,11,7.5,15,1,2,122,16,1,0.0625,7.6,61,7.5
AC #7,#7 Allison Cahill,#7,Allison Cahill,206,18,27,66.7,11.4,3,1,24,111,1,Renegades,2019,206,18,27,3,1,1,0.1111111111111111,67,0.037037037037037035,7.62962962962963,11.4,206,3,1.833333333333333,1.1574074074074074,2.2222222222222223,1.4490740740740742,111,#7,Allison Cahill,9,2,4.5,9,0,1,9,2,0,0,4.5,9,4.5
AC #7,#7 Allison Cahill,#7,Allison Cahill,438,24,28,85.7,18.2,7,0,94,158.3,2,Renegades,2019,644,42,55,10,1,2,0.18181818181818182,76,0.01818181818181818,11.709090909090909,15.3,322,10,2.318181818181819,2.1772727272727272,2.375,1.9204545454545454,146.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP #24,#24 Alyssa Pochop,#24,Alyssa Pochop,92,3,13,23.1,30.7,2,3,52,56.6,1,Black Widows,2019,92,3,13,2,3,1,0.15384615384615385,23,0.23076923076923078,7.076923076923077,30.7,92,0.6666666666666666,0,1.0192307692307692,2.375,0,56.6,#24,Alyssa Pochop,9,6,1.5,9,0,1,9,6,0,0,1.5,9,1.5
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,84,8,24,33.3,10.5,0,1,NA,27.1,1,Comets,2019,84,8,24,0,1,1,0,33,0.041666666666666664,3.5,10.5,84,0,0.16666666666666644,0.125,0,1.3333333333333335,27.1,#7,Amanda Herbst,7,2,3.5,NA,1,1,7,2,1,0.5,3.5,7,3.5
AH #7,#7 Amanda Herbst,#7,Amanda Herbst,16,2,11,18.2,8,0,1,9,1.7,2,Comets,2019,100,10,35,0,2,2,0,29,0.05714285714285714,2.857142857142857,10,50,0,0,0,0,0.9464285714285714,15.8,#7,Amanda Herbst,2,1,2,2,0,2,9,3,1,0.3333333333333333,3,4.5,2
AK #55,#55 Amber Kirby,#55,Amber Kirby,0,1,3,33.3,0,0,0,NA,42.4,1,Fusion,2019,0,1,3,0,0,1,0,33,0,0,0,0,0,0.16666666666666644,0,0,2.375,42.4,#55,Amber Kirby,6,5,1.2,5,0,1,6,5,0,0,1.2,6,1.2
AK #55,#55 Amber Kirby,#55,Amber Kirby,73,3,4,75,24.3,2,0,39,156.2,2,Fusion,2019,73,4,7,2,0,2,0.2857142857142857,57,0,10.428571428571429,18.2,36.5,0.2857142857142857,1.357142857142857,1.8571428571428572,2.375,2.375,132.7,#55,Amber Kirby,32,8,4,14,1,2,38,13,1,0.07692307692307693,2.9,19,4
AB #82,#82 Angela Baker,#82,Angela Baker,240,12,22,54.5,20,1,0,59,108.1,1,Passion,2019,240,12,22,1,0,1,0.045454545454545456,55,0,10.909090909090908,20,240,0.045454545454545456,1.227272727272727,1.977272727272727,0.9090909090909092,2.375,108.1,#82,Angela Baker,37,12,3.1,26,2,1,37,12,2,0.16666666666666666,3.1,37,3.1
AB #82,#82 Angela Baker,#82,Angela Baker,52,6,16,37.5,8.7,1,1,14,41.7,2,Passion,2019,292,18,38,2,1,2,0.05263157894736842,47,0.02631578947368421,7.684210526315789,16.2,146,2,0.8684210526315788,1.1710526315789473,1.0526315789473684,1.7171052631578947,80.2,#82,Angela Baker,37,5,7.4,20,1,2,74,17,3,0.17647058823529413,4.4,37,7.4
BD #2,#2 Becca Davidson,#2,Becca Davidson,236,14,34,41.2,16.9,5,0,42,104.9,1,Lady Gades,2019,236,14,34,5,0,1,0.14705882352941177,41,0,6.9411764705882355,16.9,236,0.14705882352941177,0.5588235294117645,0.9852941176470589,2.375,2.375,104.9,#2,Becca Davidson,51,6,8.5,23,1,1,51,6,1,0.16666666666666666,8.5,51,8.5
BD #2,#2 Becca Davidson,#2,Becca Davidson,188,14,26,53.8,13.4,2,3,34,63.1,3,Lady Gades,2019,424,28,60,7,3,2,0.11666666666666667,47,0.05,7.066666666666666,15.1,212,2.333333333333333,0.8333333333333333,1.0166666666666666,2.3333333333333335,1.125,88.5,#2,Becca Davidson,41,8,5.1,24,1,3,92,14,2,0.14285714285714285,6.6,46,5.1
