plyr.lbl,player,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,team,season,rush_yards_cum,carries_cum,rush_td_cum,game,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,rec_yards_cum,rec_cum,rec_td_cum,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec
AM #40,#40 Alexis Moreno,#40,Alexis Moreno,40,5,8,7,0,1,Trojans,2019,40,5,0,1,0,8,40,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM #40,#40 Alexis Moreno,#40,Alexis Moreno,82,11,7.5,15,1,2,Trojans,2019,122,16,1,2,0.0625,7.6,61,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG #31,#31 Alison Gauvin,#31,Alison Gauvin,45,7,6.4,12,0,1,Renegades,2019,45,7,0,1,0,6.4,45,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG #31,#31 Alison Gauvin,#31,Alison Gauvin,32,4,8,31,1,2,Renegades,2019,77,11,1,2,0.09090909090909091,7,38.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #47,#47 Alyssa Soules,#47,Alyssa Soules,74,9,8.2,17,1,1,Savages,2019,74,9,1,1,0.1111111111111111,8.2,74,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #47,#47 Alyssa Soules,#47,Alyssa Soules,5,5,1,6,0,2,Savages,2019,79,14,1,2,0.07142857142857142,5.6,39.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #47,#47 Alyssa Soules,#47,Alyssa Soules,7,8,0.9,11,0,3,Savages,2019,86,22,1,3,0.045454545454545456,3.9,28.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK #55,#55 Amber Kirby,#55,Amber Kirby,6,5,1.2,5,0,1,Fusion,2019,6,5,0,1,0,1.2,6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK #55,#55 Amber Kirby,#55,Amber Kirby,32,8,4,14,1,2,Fusion,2019,38,13,1,2,0.07692307692307693,2.9,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,37,12,3.1,26,2,1,Passion,2019,37,12,2,1,0.16666666666666666,3.1,37,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,37,5,7.4,20,1,2,Passion,2019,74,17,3,2,0.17647058823529413,4.4,37,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP #1,#1 Angelica Pascual,#1,Angelica Pascual,138,10,13.8,39,3,1,Renegades,2019,138,10,3,1,0.3,13.8,138,13.8,#1,Angelica Pascual,18,1,18,18,0,1,18,1,0,0,18,18,18
AP #1,#1 Angelica Pascual,#1,Angelica Pascual,78,12,6.5,20,1,2,Renegades,2019,216,22,4,2,0.18181818181818182,9.8,108,6.5,#1,Angelica Pascual,3,1,3,3,0,2,21,2,0,0,10.5,10.5,3
AV #7,#7 Anthonyeisha Vinson,#7,Anthonyeisha Vinson,67,11,6.1,15,1,3,Reign,2019,67,11,1,1,0.09090909090909091,6.1,67,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM #7,#7 Ashley Moran,#7,Ashley Moran,3,2,1.5,2,0,2,Threat,2019,3,2,0,1,0,1.5,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM #7,#7 Ashley Moran,#7,Ashley Moran,0,16,0,18,0,3,Threat,2019,3,18,0,2,0,0.2,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN #32,#32 Ashley Nickens,#32,Ashley Nickens,33,10,3.3,14,2,1,Savages,2019,33,10,2,1,0.2,3.3,33,3.3,#32,Ashley Nickens,2,1,2,2,0,2,2,1,0,0,2,2,2
AN #32,#32 Ashley Nickens,#32,Ashley Nickens,5,2,2.5,3,0,2,Savages,2019,38,12,2,2,0.16666666666666666,3.2,19,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN #32,#32 Ashley Nickens,#32,Ashley Nickens,11,5,2.2,6,0,3,Savages,2019,49,17,2,3,0.11764705882352941,2.9,16.3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #9,#9 Ayana Slaughter,#9,Ayana Slaughter,28,6,4.7,16,0,1,Wildcats,2019,28,6,0,1,0,4.7,28,4.7,#9,Ayana Slaughter,7,2,5,3.5,0,1,7,2,0,0,3.5,7,3.5
AS #9,#9 Ayana Slaughter,#9,Ayana Slaughter,12,5,2.4,10,0,2,Wildcats,2019,40,11,0,2,0,3.6,20,2.4,#9,Ayana Slaughter,12,1,12,12,0,2,19,3,0,0,6.3,9.5,12
AS #9,#9 Ayana Slaughter,#9,Ayana Slaughter,0,4,0,7,0,3,Wildcats,2019,40,15,0,3,0,2.7,13.3,0,#9,Ayana Slaughter,2,1,2,2,0,3,21,4,0,0,5.2,7,2
BD #2,#2 Becca Davidson,#2,Becca Davidson,51,6,8.5,23,1,1,Lady Gades,2019,51,6,1,1,0.16666666666666666,8.5,51,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD #2,#2 Becca Davidson,#2,Becca Davidson,41,8,5.1,24,1,3,Lady Gades,2019,92,14,2,2,0.14285714285714285,6.6,46,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR #26,#26 Beckie Reese,#26,Beckie Reese,25,10,2.5,11,0,1,Blitz,2019,25,10,0,1,0,2.5,25,2.5,#26,Beckie Reese,5,1,5,5,0,1,5,1,0,0,5,5,5
BR #26,#26 Beckie Reese,#26,Beckie Reese,16,7,2.3,5,0,2,Blitz,2019,41,17,0,2,0,2.4,20.5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR #26,#26 Beckie Reese,#26,Beckie Reese,16,8,2,9,0,3,Blitz,2019,57,25,0,3,0,2.3,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM #20,#20 Bellvina McGrath,#20,Bellvina McGrath,16,10,1.6,15,0,1,Vixen,2019,16,10,0,1,0,1.6,16,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM #20,#20 Bellvina McGrath,#20,Bellvina McGrath,73,8,9.1,26,1,3,Vixen,2019,89,18,1,2,0.05555555555555555,4.9,44.5,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,62,3,20.7,30,1,1,Anarchy,2019,62,3,1,1,0.3333333333333333,20.7,62,20.7,#20,Brittany Koziara,36,2,34,18,1,1,36,2,1,0.5,18,36,18
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,97,7,13.9,42,1,2,Anarchy,2019,159,10,2,2,0.2,15.9,79.5,13.9,#20,Brittany Koziara,22,3,17,7.3,0,3,58,5,1,0.2,11.6,29,7.3
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,9,2,4.5,7,0,3,Anarchy,2019,168,12,2,3,0.16666666666666666,14,56,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM #12,#12 Brookeline McCorkle,#12,Brookeline McCorkle,10,3,3.3,4,0,1,Vanguards,2019,10,3,0,1,0,3.3,10,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
