plyr.lbl,player,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,team,season,rec_yards_cum,rec_cum,rec_td_cum,game,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AL #10,#10 Alaina Lange,#10,Alaina Lange,35,2,17,17.5,0,2,Knockout,2018,35,2,0,1,0,17.5,35,17.5,#10,Alaina Lange,10,3,3.3,4,0,3,10,3,0,0,3.3,10,3.3
AL #10,#10 Alaina Lange,#10,Alaina Lange,58,5,24,11.6,0,3,Knockout,2018,93,7,0,2,0,13.3,46.5,11.6,#10,Alaina Lange,0,1,0,NA,0,6,10,4,0,0,2.5,5,0
AL #10,#10 Alaina Lange,#10,Alaina Lange,40,3,14,13.3,0,4,Knockout,2018,133,10,0,3,0,13.3,44.3,13.3,#10,Alaina Lange,47,4,11.8,15,1,7,57,8,1,0.125,7.1,19,11.8
AL #10,#10 Alaina Lange,#10,Alaina Lange,58,6,18,9.7,0,6,Knockout,2018,191,16,0,4,0,11.9,47.8,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL #10,#10 Alaina Lange,#10,Alaina Lange,52,5,14,10.4,0,7,Knockout,2018,243,21,0,5,0,11.6,48.6,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,4,3,3,1.3,0,1,Las Cruces,2018,4,3,0,1,0,1.3,4,1.3,#32,Alicia Aguirre,70,10,7,12,0,1,70,10,0,0,7,70,7
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,68,1,68,68,1,3,Las Cruces,2018,72,4,1,2,0.25,18,36,68,#32,Alicia Aguirre,109,6,18.2,51,1,3,179,16,1,0.0625,11.2,89.5,18.2
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,14,3,8,4.7,0,4,Las Cruces,2018,86,7,1,3,0.14285714285714285,12.3,28.7,4.7,#32,Alicia Aguirre,45,8,5.6,17,1,4,224,24,2,0.08333333333333333,9.3,74.7,5.6
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,12,2,6,6,0,5,Las Cruces,2018,98,9,1,4,0.1111111111111111,10.9,24.5,6,#32,Alicia Aguirre,93,13,7.2,15,0,5,317,37,2,0.05405405405405406,8.6,79.2,7.2
AA #32,#32 Alicia Aguirre,#32,Alicia Aguirre,15,2,8,7.5,0,6,Las Cruces,2018,113,11,1,5,0.09090909090909091,10.3,22.6,7.5,#32,Alicia Aguirre,68,12,5.7,23,1,6,385,49,3,0.061224489795918366,7.9,77,5.7
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,25,1,25,25,0,1,Waverunners,2018,25,1,0,1,0,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,40,2,25,20,0,3,Waverunners,2018,65,3,0,2,0,21.7,32.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,25,2,15,12.5,0,5,Waverunners,2018,90,5,0,3,0,18,30,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,75,5,NA,15,0,6,Waverunners,2018,165,10,0,4,0,16.5,41.2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,35,5,NA,7,0,7,Waverunners,2018,200,15,0,5,0,13.3,40,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,35,5,10,7,0,8,Waverunners,2018,235,20,0,6,0,11.8,39.2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AS #1,#1 Amoni Suttice,#1,Amoni Suttice,10,2,NA,5,0,8,Waverunners,2018,245,22,0,7,0,11.1,35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,53,6,19,8.8,2,3,Passion,2018,53,6,2,1,0.3333333333333333,8.8,53,8.8,#82,Angela Baker,0,1,0,NA,0,3,0,1,0,0,0,0,0
AB #82,#82 Angela Baker,#82,Angela Baker,191,16,23,11.9,2,4,Passion,2018,244,22,4,2,0.18181818181818182,11.1,122,11.9,#82,Angela Baker,11,1,11,11,0,5,11,2,0,0,5.5,5.5,11
AB #82,#82 Angela Baker,#82,Angela Baker,80,6,24,13.3,2,5,Passion,2018,324,28,6,3,0.21428571428571427,11.6,108,13.3,#82,Angela Baker,0,1,0,NA,0,7,11,3,0,0,3.7,3.7,0
AB #82,#82 Angela Baker,#82,Angela Baker,168,7,63,24,2,6,Passion,2018,492,35,8,4,0.22857142857142856,14.1,123,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,193,11,85,17.5,2,7,Passion,2018,685,46,10,5,0.21739130434782608,14.9,137,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,12,3,NA,4,0,8,Passion,2018,697,49,10,6,0.20408163265306123,14.2,116.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #82,#82 Angela Baker,#82,Angela Baker,157,8,38,19.6,4,10,Passion,2018,854,57,14,7,0.24561403508771928,15,122,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A #47,#47 Ankara  West,#47,Ankara  West,15,2,10,7.5,0,4,Smash,2018,15,2,0,1,0,7.5,15,7.5,#47,Ankara  West,40,5,8,15,0,1,40,5,0,0,8,40,8
A #47,#47 Ankara  West,#47,Ankara  West,25,1,25,25,0,7,Smash,2018,40,3,0,2,0,13.3,20,25,#47,Ankara  West,33,11,3,10,0,2,73,16,0,0,4.6,36.5,3
