plyr.lbl,player,no..rec,name.rec,rec_yards,rec,long.rec,avg.rec,rec_td,week.rec,team,season,rec_yards_cum,rec_cum,rec_td_cum,game,rec_td_rate_cum,rec_avg_cum,rec_yards_cum_game,rec_yards_rec,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AS #10,#10 Adrienne Smith,#10,Adrienne Smith,80,5,41,16,1,2,Renegades,2019,80,5,1,1,0.2,16,80,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB #24,#24 Amanda Brewster,#24,Amanda Brewster,89,5,42,17.8,2,1,Lady Gades,2019,89,5,2,1,0.4,17.8,89,17.8,#24,Amanda Brewster,35,3,11.7,21,0,1,35,3,0,0,11.7,35,11.7
AB #24,#24 Amanda Brewster,#24,Amanda Brewster,72,6,34,12,0,3,Lady Gades,2019,161,11,2,2,0.18181818181818182,14.6,80.5,12,#24,Amanda Brewster,18,3,6,10,0,3,53,6,0,0,8.8,26.5,6
AD #81,#81 Ashley Davis,#81,Ashley Davis,5,1,NA,5,1,1,MH Blaze,2019,5,1,1,1,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD #81,#81 Ashley Davis,#81,Ashley Davis,13,4,NA,3.2,0,3,MH Blaze,2019,18,5,1,2,0.2,3.6,9,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BH #88,#88 Barbara Heinrich,#88,Barbara Heinrich,20,4,5,5,0,2,Sizzle,2019,20,4,0,1,0,5,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BH #88,#88 Barbara Heinrich,#88,Barbara Heinrich,9,2,7,4.5,0,3,Sizzle,2019,29,6,0,2,0,4.8,14.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG #1,#1 Breana Griggs,#1,Breana Griggs,33,7,NA,4.7,1,1,OR Hawks,2019,33,7,1,1,0.14285714285714285,4.7,33,4.7,#1,Breana Griggs,2,1,2,NA,0,1,2,1,0,0,2,2,2
BG #1,#1 Breana Griggs,#1,Breana Griggs,87,5,NA,17.4,1,2,OR Hawks,2019,120,12,2,2,0.16666666666666666,10,60,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BK #20,#20 Brittany Koziara,#20,Brittany Koziara,36,2,34,18,1,1,Anarchy,2019,36,2,1,1,0.5,18,36,18,#20,Brittany Koziara,62,3,20.7,30,1,1,62,3,1,0.3333333333333333,20.7,62,20.7
